,,,
MATERIAL,DESCRIPCIÓN,ITF,CENTRO
FKL7137        ,BI LIMPIAD.FAC.ACTIVADO AL VAPOR 147 ML ,10019100171371,1007
FKL7137I       ,BI LIMPIAD.FAC.ACTIVADO AL VAPOR 147 ML ,10019100171371,1007
FKL7138        ,BI TOALLITAS DESMAQUILLANTES C/30       ,10019100171388,1007
FKL7138I       ,BI TOALLITAS DESMAQUILLANTES C/30       ,10019100171388,1007
FKL7139        ,BI TOALLITAS DESMAQUILLANTES C/10       ,10019100171395,1007
FKL7139I       ,BI TOALLITAS DESMAQUILLANTES C/10       ,10019100171395,1007
FKL7140        ,BI TOALLITAS DESMAQUILLANTES C/60       ,10019100171401,1007
FKL7140I       ,BI TOALLITAS DESMAQUILLANTES C/60       ,10019100171401,1007
FKL7141        ,BI BANDAS LIMPIEZA PROF.ULTRA NARIZ C/6 ,10019100171418,1007
FKL7141I       ,BI BANDAS LIMPIEZA PROF.ULTRA NARIZ C/6 ,10019100171418,1007
FKL7142        ,BI BANDAS LIMPIEZA PROFUNDA NARIZ C/8   ,10019100171425,1007
FKL7142A       ,SACHET BI BANDAS LIMP. PROF. NARIZ  C/3P,80850040940172,1007
FKL7142I       ,BI BANDAS LIMPIEZA PROFUNDA NARIZ C/8   ,10019100171425,1007
FKL7143        ,BI BANDAS LIMPIEZA PROFUNDA NARIZ C/4   ,10019100171432,1007
FKL7143BI      ,BIORE BANDA INDIVIDUAL                  ,10019100171432,1007
FKL7143I       ,BI BANDAS LIMPIEZA PROFUNDA NARIZ C/4   ,10019100171432,1007
FKL7143M       ,BANDITAS BIORE DE 4                     ,10019100171432,1007
FKL7144        ,BI BANDAS LIMPIEZA PROFUNDA COMBO C/8   ,10019100171449,1007
FKL7144I       ,BI BANDAS LIMPIEZA PROFUNDA COMBO C/8   ,10019100171449,1007
FKL7273        ,BI EXFOLIANTE ILUMINANTE 100ML          ,10019100272733,1007
FKL7273I       ,BI EXFOLIANTE ILUMINANTE 100ML          ,10019100272733,1007
FKL7358        ,PDQ BIORE UV WALMART                    ,7501022173589 ,1007
FKL7393        ,BUBBLING MASK PDQ WALMART X             ,7501022173930 ,1007
FKL7394        ,CHEDRAUI BIORÉ BUBBLING Y TOP PDQ       ,7501022173947 ,1007
FKL8307        ,BI BANDITAS ZONA T 15PZAS               ,10019100283074,1007
FKL8307I       ,INT. BI BANDITAS ZONA T 15PZAS          ,10019100283074,1007
FKL8686        ,BI AQUA RICH UV SPF50 SENSITIVE SKIN 1.7,10019100294896,1007
FKL8686A       ,AMZ AQUA RICH UV SPF50 SENSITIV SKIN 1.7,10810120502615,1007
FKL8686I       ,INT. BI AQUA RICH UV SPF50 SENS SKIN 1.7,10019100294896,1007
FKL8798        ,BI BANDAS LIMPIEZA PROFUNDA 8+2 WM 2016 ,80037836087987,1007
FKL8858        ,BI CLEAN DETOX LIMPIADOR SUAVE 200ml    ,10019100288581,1007
FKL8858I       ,INT.BI CLEAN DETOX GEL CLEANSER 6.7Fl Oz,10019100281186,1007
FKL8859        ,BI CLEAN DETOX HUMECTAN DIARIO 100ml    ,10019100288598,1007
FKL8859I       ,INT. BI CLEAN DETOX DAILY MOIST 3.4Fl Oz,10019100281216,1007
FKL8860        ,BI CLEAN DETOX TONICO SUAVE 235ml       ,10019100288604,1007
FKL8860I       ,INT. BI CLEAN DETOX TONER 8 Fl Oz       ,10019100282985,1007
FKL8897        ,BI EXFOLIAD.FAC.PIEL GRANOS/ESPIN. 125G ,10019100188973,1007
FKL8897I       ,BI EXFOLIAD.FAC.PIEL GRANOS/ESPIN. 125G ,10019100188973,1007
FKL8992        ,BI CLEAN+SUAVE LIMP.PIEL PROP.GRANOS 200,10019100289922,1007
FKL8992I       ,INT CLEAN+SUAVE LIMP.PIEL PROP.GRANO 200,10019100289922,1007
FKL9416        ,BIO PARCHE LÍQ. P/GRANOS PAINT&PEEL 15G ,10019100293011,1007
FKL9654        ,BIORE PARCHE BURBUJEANTE PARA NARIZ     ,10019100296456,1007
FKL9737        ,BI LIMPIADOR PROF. CARBON NATURAL 28g   ,10019100197371,1007
FKL9737I       ,BI LIMPIADOR PROF. CARBON NATURAL 28g   ,10019100197371,1007
FKL9982        ,BI BANDAS LIMPIEZA PROFUNDA FACIAL C/8  ,10019100199825,1007
FKL9982I       ,BI BANDAS LIMPIEZA PROFUNDA FACIAL C/8  ,10019100199825,1007
FKL9999        ,BI TOALLITAS DESMAQUILLANTES C/25       ,10019100199993,1007
FKL9999I       ,BI TOALLITAS DESMAQUILLANTES C/25       ,10019100199993,1007
FKLF7001       ,SIDEKICK MASCARILLAS SUPERAMA 2019      ,037836070013  ,1007
FKLF7002       ,PDQ BANDAS SC 2019                      ,037836070020  ,1007
FKLF7003       ,PDQ SC AGAVE AZUL ALTA 2019             ,037836070037  ,1007
FKLF7004       ,PDQ SC AGAVE AZUL BAJA 2019             ,037836070044  ,1007
FKLF7005       ,PDQ CARBON SC ALTA 2019                 ,037836070051  ,1007
FKLF7006       ,PDQ CARBON SC BAJA 2019                 ,037836070068  ,1007
FKLF7007       ,PDQ MASCARILLA BA 2019                  ,037836070075  ,1007
FKLF7016       ,PALLET BIORE CHEDRAUI  2019             ,037836070167  ,1007
FKLF7017       ,SIDEKICK BIORE CHEDRAUI 2019            ,037836070174  ,1007
FKLF7040       ,PDQ BODEGA TOALLITAS 2019               ,037836070402  ,1007
FKLF7041       ,SIDEKICK SP TOALLITAS BIORE 2019        ,037836070419  ,1007
FKLF7042       ,PDQ SC CARBON CARGA ALTA 2019           ,037836070426  ,1007
FKLF7043       ,PDQ SC B.SODA CARGA BAJA 2019           ,037836070433  ,1007
FKLF7044       ,PDQ SC B.SODA CARGA ALTA 2019           ,037836070440  ,1007
FKLF7045       ,PDQ SC CARBON CARGA BAJA 2019           ,037836070457  ,1007
FKLF7053       ,PDQ CUARZO ROSA SC CARGA ALTA           ,037836070532  ,1007
FKLF7054       ,PDQ CUARZO ROSA SC CARGA BAJA           ,037836070549  ,1007
FKLF7055       ,PDQ CUARZO ROSA B.AURRERA CARGA ALTA    ,037836070556  ,1007
FKLF7056       ,PDQ CUARZO ROSA B.AURRERA CARGA BAJA    ,037836070563  ,1007
FKLF7057       ,PDQ CUARZO ROSA SUPERAMA                ,0401004025387 ,1007
FKLF7114       ,PALLET BIORE CUARZO ROSA R.TOP CHEDRAUI ,037836071140  ,1007
FKLF7115       ,PALLET BIORE CUARZO ROSA CHEDRAUI       ,037836071157  ,1007
FKLF7142       ,PDQ SC BIORE ILUMINATING 2021           ,037836071423  ,1007
FKLF7143       ,PDQ SP BIORE ILUMINATING 2021           ,037836071430  ,1007
FKLF7144       ,PDQ BODEGA BIORE ILUMINATING 2021       ,037836071447  ,1007
FKLF7147       ,SIDEKICK SC BIORE MEN 2021              ,037836071478  ,1007
FKLF7148       ,SIDEKICK SP BIORE MEN 2021              ,037836071485  ,1007
FKLF7149       ,SIDEKICK BODEGA BIORE MEN 2020          ,037836071492  ,1007
FKLF7156       ,PALLET CHEDRAUI 2021 CARGA BAJA         ,037836071560  ,1007
FKLF7172       ,PDQ BANDITAS BIORE SC 2021              ,037836071720  ,1007
FKLF7173       ,PDQ BANDITAS BIORE BODEGA 2021          ,037836071737  ,1007
FKLF7174       ,PDQ BANDITAS BIORE SP 2021              ,037836071744  ,1007
FKLF7175       ,PDQ LIMPIADORES BIORE SC 2021           ,037836071751  ,1007
FKLF7176       ,PDQ LIMPIADORES BIORE BODEGA 2021       ,037836071768  ,1007
FKLF7177       ,PDQ LIMPIADORES BIORE SP 2021           ,037836071775  ,1007
FKLF7187       ,PDQ BIORE LIMPIADORES SP 2021           ,037836071874  ,1007
FKLF7188       ,PDQ BIORE LIMPIADORES BODEGA 2021       ,037836071881  ,1007
FKLF7189       ,PDQ BIORE LIMPIADORES SC 2021           ,037836071898  ,1007
FKLF7190       ,PDQ BIORE BANDAS SC 2021                ,037836071904  ,1007
FKLF7191       ,PDQ BIORE BANDAS BODEGA 2021            ,037836071911  ,1007
FKLF7192       ,PDQ BIORE BANDAS SP 2021                ,037836071928  ,1007
FKLF7229       ,BASE STR CF BODEGA BIORE 2022 LIMP-BAND ,037836072291  ,1007
FKLF7230       ,BASE STR CF SUPERAMA BIORE 2022 LIMP-BAN,037836072307  ,1007
FKLF7231       ,BASE STR SUPERCENTER BIORE 2022 LIMP-BAN,037836072314  ,1007
FKLF7243       ,BIORE DETOX SUPERCENTER                 ,037836072437  ,1007
FKLF7244       ,BIORE DETOX BODEGA BA                   ,037836072444  ,1007
FKLF7260       ,BANDAS LIMP.CARB.NAT.NAR+EXFOL.ILUM.100 ,87501022172601,1007
FKLF7280       , DQ BANDITAS DE LIMPIEZA BIORE          ,7501022172803 ,1007
FKLF7298       ,PDQ BANDITAS Y LIMPIADORES BIORE        ,810120501581  ,1007
FKLF7301       ,BA SACHET BI BANDAS LIMP.PROF.CARBON 3P ,87501022173011,1007
FKLF7315       ,PDQ BIORE CHEDRAUI 2024                 ,7501022173152 ,1007
FKLF7320       ,PDQ WALMART BANDITAS Y LIMPIADORES 2024 ,7501022173206 ,1007
FKLF7321       ,PDQ WALMART BANDITAS MAYO 2024          ,7501022173213 ,1007
FKLF7327       ,PDQ BIORE BANDAS 2024                   ,7501022173275 ,1007
FKLF7339       ,BIORE 2025 BODEGA                       ,7501022173398 ,1007
FKLF7340       ,BIORE 2025 WALMART                      ,7501022173404 ,1007
FKLF7350       ,PDQ BIORE CHEDRAUICLEAN & SUAVE CON UV  ,7501022173503 ,1007
FKLF7351       ,PDQ BIORE CHEDRAUI SISTEMA DE LIMPIEZA  ,7501022173510 ,1007
FKLF7396       ,COSTCO 3PACK BI AQUA RICH UV SPF50 1.7OZ,87501022173967,1007
FKLF8490       ,BANDITAS BIORÉ 8+2 NUEVO                ,10037836084901,1007
FKLF8607       ,SIDEKICK BIORE SUPERAMA                 ,037836086076  ,1007
FKLF8615       ,PDQ Baking Soda Bodega                  ,3000000044438 ,1007
FKLF8623       ,PDQ BODEGA BIORE                        ,037836086236  ,1007
FKLF8624       ,PDQ 4 SUPERCENTER BIORE                 ,037836086243  ,1007
FKLF8625       ,PDQ 3 SUPERCENTER BIORE                 ,037836086250  ,1007
FKLF8626       ,PDQ 2 SUPERCENTER BIORE                 ,037836086267  ,1007
FKLF8627       ,PDQ 1 SUPERCENTER BIORE                 ,037836086274  ,1007
FKLF8639       ,PDQ Sidekick Biore                      ,037836086397  ,1007
FKLF8660       ,PDQ BODEGA BIORÉ 2015 MIX               ,037836086601  ,1007
FKLF8661       ,PDQ SUPERAMA BIORÉ 2015                 ,037836086618  ,1007
FKLF8662       ,PDQ 1 BIORÉ BANDAS 2015                 ,037836086625  ,1007
FKLF8663       ,PDQ 2 BIORÉ ANTIACNE 2015               ,037836086632  ,1007
FKLF8664       ,PDQ 3 BIORÉ TODO TIPO DE PIEL 2015      ,037836086649  ,1007
FKLF8665       ,PDQ 4 BIORÉ TODO TIPO PIEL+CARBON 2015  ,037836086656  ,1007
FKLF8670       ,SIDEKICK SUPERAMA CIERRE 2015           ,037836086700  ,1007
FKLF8671       ,PDQ MERCADO BIORE                       ,037836086717  ,1007
FKLF8678       ,PDQ BIORE BANDITAS DE 4 SUPERMARKET     ,037836086786  ,1007
FKLF8680       ,PDQ BIORE BANDAS BODEGA CHECK OUTS      ,037836086809  ,1007
FKLF8681       ,PDQ BODEGA BIORE MIX 2015 BTS           ,037836086816  ,1007
FKLF8682       ,PDQ 1 BIORE BANDAS WALMART 2015 BTC     ,037836086823  ,1007
FKLF8683       ,PDQ 2 BIORE ANTIACNE WALMART 2015 BTC   ,037836086830  ,1007
FKLF8684       ,PDQ 3 BIORE T.T.PIEL WALMART 2015 BTC   ,037836086847  ,1007
FKLF8685       ,PDQ 4 BIORE T.T.PIEL+CARBON WM 2015 BTC ,037836086854  ,1007
FKLF8735       ,PDQ BIORE ANTIACNE 1Q 2016              ,037836087356  ,1007
FKLF8736       ,PDQ BIORE BANDAS 1Q 2016                ,037836087363  ,1007
FKLF8737       ,PDQ BIORE TODO TIPO DE PIEL 1Q 2016     ,037836087370  ,1007
FKLF8739       ,PDQ BIORE BODEGA MIX 1Q 2016            ,037836087394  ,1007
FKLF8740       ,PDQ Bioré Carbón Generico               ,037836087400  ,1007
FKLF8794       ,PALLET BIORE 2016                       ,037836087943  ,1007
FKLF8795       ,BLISTER BIORE BANDITAS CARBON DE 20     ,80037836087956,1007
FKLF8796       ,SIDEKICK BIORE BTS 2016 SUPERAMA        ,              ,1007
FKLF8797       ,PDQ 2 BIORE BTS 2016 SC                 ,037836087974  ,1007
FKLF8808       ,BIORE BANDAS c/4 PZAS WM                ,80037836088083,1007
FKLF8809       ,PDQ TRAVEL BIORE                        ,037836088094  ,1007
FKLF8815       ,PDQ COMMEX BIORE ANTIACNE               ,037836088155  ,1007
FKLF8816       ,PDQ COMMEX BIORE BANDAS                 ,037836088193  ,1007
FKLF8817       ,PDQ COMMEX BIORE BAKING SODA            ,037836088179  ,1007
FKLF8818       ,PDQ COMMEX BIORE CARBON                 ,037836088186  ,1007
FKLF8819       ,SIDEKICK CHEDRAUI BIORE 2016            ,037836088162  ,1007
FKLF8821       ,PALLET CHEDRAUI BIORE 2016              ,037836088216  ,1007
FKLF8849       ,PACK BIORE 2017                         ,80037836088496,1007
FKLF8862       ,SIDEKICK BIORE MERCADO S                ,3000112377936 ,1007
FKLF8865       ,SIDEKICK BIORE HIPER                    ,3000112394124 ,1007
FKLF8866       ,PDQ BIORE LANZAMIENTOS BA               ,037836088667  ,1007
FKLF8867       ,PDQ BIORE LANZAMIENTOS SC               ,037836088674  ,1007
FKLF8879       ,PALLETS BIORE BTS SC                    ,037836088797  ,1007
FKLF8880       ,PDQ BANDAS BACK TO SCHOOL SC            ,037836088803  ,1007
FKLF8883       ,PDQ BIORE BTS BODEGA                    ,037836088834  ,1007
FKLF8885       ,SIDEKICK BIORE SS SUPERAMA              ,037836088858  ,1007
FKLF8886       ,SIDEKICK BIORE BTS SUPERAMA             ,037836088865  ,1007
FKLF8887       ,PDQ BIORE MIX BACK TO SCHOOL SC         ,037836088872  ,1007
FKLF8906       ,PALLETS BIORE BTS SC                    ,037836089060  ,1007
FKLF8922       ,PALLET MULTIMARCA BIORE COMEX           ,037836089220  ,1007
FKLF8923       ,SIDEKICK BIORE ESPUMA NVO MERCADO       ,3000113861656 ,1007
FKLF8925       ,SIDEKICK BIORE ESPUMA NVO HIPER         ,3000113474948 ,1007
FKLF8926       ,PDQ BIORE BANDAS SC                     ,037836089268  ,1007
FKLF8927       ,PDQ BIORE PIEL MIXTA SC                 ,037836089275  ,1007
FKLF8928       ,PDQ BIORE ESPUMA SC                     ,037836089282  ,1007
FKLF8929       ,PDQ BIORE ESPUMA BODEGA                 ,037836089299  ,1007
FKLF8930       ,SIDEKICK BIORE ESPUMA SUPERAMA          ,037836089305  ,1007
FKLF8938       ,PDQ NARANJA BIORE CHEDRAUI 2018         ,037836089381  ,1007
FKLF8939       ,PDQ VERDE BIORE CHEDRAUI 2018           ,037836089398  ,1007
FKLF8940       ,PDQ ROSA BIORE CHEDRAUI 2018            ,037836089404  ,1007
FKLF8941       ,SIDEKICK BIORE CHEDRAUI 2018            ,037836089411  ,1007
FKLF8950       ,SUPERAMA SIDEKICK BTS 2018              ,037836089503  ,1007
FKLF8951       ,BODEGA PDQ BTS 2018                     ,037836089510  ,1007
FKLF8952       ,PDQ BIORÉ BICARBONATO 1 SC              ,037836089527  ,1007
FKLF8953       ,PDQ BIORÉ CARBÓN 2 SC                   ,037836089534  ,1007
FKLF8964       ,PDQ BIORE BANDAS BODEGA 2021            ,037836089640  ,1007
FKLF8969       ,PDQ BIORÉ CARBÓN 1 SC                   ,037836089695  ,1007
FKLF8970       ,PDQ BIORÉ BICARBONATO 2 SC              ,037836089701  ,1007
FKLF8988       ,PALLET SC 3 BIORE                       ,037836089886  ,1007
FKLF8989       ,PALLET SC 4 BIORE                       ,037836089893  ,1007
FKSF7328       ,PDQ JF NPD´S 2024                       ,7501022173282 ,1007
FKSF8610       ,PDQ Baking Soda Bodega                  ,037836086106  ,1007
FKSF8657       ,SIDEKICK SUPERAMA BIORE                 ,037836086571  ,1007
FKSF8924       ,SIDEKICK JOHN FRIEDA HIPER              ,037836089244  ,1007
FKC0534        ,CU DAILY MOISTURE ORIGIN.LOT. 6 FL.OZ.  ,10019045105349,1007
FKC0534I       ,CU DAILY MOISTURE ORIGIN.LOT. 6 FL.OZ.  ,10019045105349,1007
FKC0535        ,CU DAILY MOISTURE ORIGIN.LOT. 13 FL.OZ. ,10019045105356,1007
FKC0535I       ,CU DAILY MOISTURE ORIGIN.LOT. 13 FL.OZ. ,10019045105356,1007
FKC0540        ,CU ULTRA HEALING LOTION 6 FL.OZ.        ,10019045105400,1007
